Company,Rating,Good Review,Bad Review,Industry,HQ,Total locations
TCS,3.3,Job Security,"Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,449
Accenture,3.7,Not Available,Not Available,IT Services & Consulting,Bengaluru,262
Wipro,3.6,Not Available,Not Available,IT Services & Consulting,Hyderabad,376
Cognizant,3.7,Not Available,Not Available,IT Services & Consulting,Hyderabad,234
Capgemini,3.6,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,188
HDFC Bank,3.8,"Job Security, Skill Development","Promotions, Salary",Banking,Mumbai,1859
Infosys,3.5,Job Security,"Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,248
HCLTech,3.4,Not Available,Not Available,IT Services & Consulting,Chennai,232
ICICI Bank,3.9,Not Available,Not Available,Banking,Mumbai,1448
Tech Mahindra,3.3,Not Available,Not Available,IT Services & Consulting,Hyderabad,324
Genpact,3.6,Job Security,"Promotions, Salary, Work Satisfaction",Analytics & KPO,Hyderabad,182
TP,3.9,Not Available,Not Available,BPO,Mumbai,259
Jio,4.4,Not Available,Not Available,Telecom,Mumbai,1966
Axis Bank,3.6,Not Available,Not Available,Banking,Mumbai,1531
Concentrix Corporation,3.6,Job Security,"Promotions, Salary, Work Satisfaction",BPO,Bengaluru,186
Amazon,3.9,"Company Culture, Work Life Balance, Salary",Promotions,Internet,Bengaluru,522
Reliance Retail,3.9,"Job Security, Skill Development, Work Life Balance",Promotions,Retail,Mumbai,1167
iEnergizer,4.6,Not Available,Not Available,BPO,Noida,55
LTIMindtree,3.6,Not Available,Not Available,IT Services & Consulting,Bengaluru,146
HDB Financial Services,3.9,Job Security,"Promotions, Salary",NBFC,Mumbai,1099
IBM,3.9,"Work Life Balance, Company Culture, Job Security",Promotions,IT Services & Consulting,Bengaluru,163
Larsen & Toubro Limited,3.9,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",Engineering & Construction,Mumbai,777
Deloitte,3.6,Not Available,Not Available,Management Consulting,Hyderabad,187
Kotak Mahindra Bank,3.6,Not Available,Not Available,Banking,Mumbai,694
Reliance Industries,4.0,"Job Security, Work Life Balance, Skill Development",Promotions,Oil & Gas,Jamnagar,823
Vodafone Idea,3.9,"Salary, Company Culture, Work Life Balance",Promotions,Telecom,Pune,708
Bharti Airtel,3.8,Not Available,Not Available,Telecom,Gurugram,798
BYJU'S,3.2,Not Available,Not Available,EdTech,Bengaluru,322
WNS,3.3,Not Available,Not Available,IT Services & Consulting,Pune,68
IDFC FIRST Bank,4.0,Not Available,Not Available,Banking,Mumbai,743
Ernst & Young,3.4,Not Available,Not Available,Management Consulting,Bengaluru,136
IndusInd Bank,3.4,Not Available,Not Available,Banking,Mumbai,804
AU Small Finance Bank,3.8,Not Available,Not Available,Banking,Jaipur,807
Tata Motors,4.1,"Job Security, Company Culture, Work Life Balance",Promotions,Automobile,Pune,508
Bajaj Finserv,3.9,Not Available,Not Available,NBFC,Pune,1218
Muthoot FinCorp,4.5,Not Available,Not Available,NBFC,Bengaluru,1126
Flipkart,3.9,"Skill Development, Salary",Promotions,Internet,Bengaluru,559
PwC,3.3,Not Available,Not Available,Management Consulting,Bengaluru,138
HDFC Life,3.8,Skill Development,Promotions,Insurance,Mumbai,721
Mahindra & Mahindra,4.0,"Job Security, Skill Development, Company Culture",Promotions,Automobile,Pune,571
Infosys BPM,3.5,Job Security,"Promotions, Salary, Work Satisfaction",BPO,Bengaluru,96
DXC Technology,3.6,Work Life Balance,"Promotions, Salary, Work Satisfaction",IT Services & Consulting,Bengaluru,132
Bandhan Bank,3.7,Not Available,Not Available,Banking,Kolkata,1020
Digitide Solutions,3.5,Not Available,Not Available,IT Services & Consulting,Hyderabad,276
Yes Bank,3.7,Not Available,Not Available,Banking,Mumbai,545
Mphasis,3.3,Not Available,Not Available,IT Services & Consulting,Bengaluru,64
Tata Steel,4.0,"Work Life Balance, Job Security, Company Culture",Promotions,Iron & Steel,Jamshedpur,229
Quess,3.8,Not Available,Not Available,Recruitment,Bengaluru,766
Asian Paints,3.9,"Salary, Skill Development, Job Security",Promotions,Chemicals,Mumbai,562
UltraTech Cement,4.1,"Job Security, Skill Development, Company Culture",Promotions,Building Material,Mumbai,545
Startek,3.0,Not Available,Not Available,BPO,Bengaluru,105
Maruti Suzuki,4.1,Not Available,Not Available,Automobile,Gurugram,461
Paytm,3.2,Not Available,Not Available,FinTech,Noida,429
Bajaj Finance,3.9,Not Available,Not Available,NBFC,Pune,1008
Shriram Finance,3.9,"Job Security, Company Culture, Work Life Balance",Promotions,NBFC,Chennai,1127
Sutherland Global Services,3.3,Not Available,Not Available,BPO,Chennai,83
Equitas Small Finance Bank,4.3,Not Available,Not Available,Banking,Chennai,487
Coforge,3.3,Not Available,Not Available,IT Services & Consulting,Hyderabad,114
Wells Fargo,3.6,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",Financial Services,Bengaluru,28
Cipla,4.1,Not Available,Not Available,Pharma,Mumbai,297
EXL Service,3.6,Job Security,"Promotions, Salary, Skill Development",Analytics & KPO,Noida,63
Ericsson,3.9,"Work Life Balance, Company Culture","Promotions, Salary",Telecom,Noida,162
Samsung,3.9,"Work Life Balance, Salary",Promotions,Consumer Electronics & Appliances,Noida,583
Dr. Reddy's,4.0,"Company Culture, Work Life Balance, Skill Development",Promotions,Pharma,Hyderabad,217
Optum Global Solutions,4.0,"Job Security, Work Life Balance, Company Culture",Promotions,IT Services & Consulting,Hyderabad,70
JSW Steel,3.9,"Job Security, Skill Development",Promotions,Iron & Steel,Ballari,202
Delhivery,3.8,Not Available,Not Available,Logistics,Gurugram,769
JPMorgan Chase & Co.,3.8,"Job Security, Salary",Promotions,Financial Services,Bengaluru,57
ICICI Prudential Life Insurance,3.9,Not Available,Not Available,Insurance,Mumbai,514
Hexaware Technologies,3.4,Not Available,Not Available,IT Services & Consulting,Chennai,72
Sun Pharmaceutical Industries,4.1,Not Available,Not Available,Pharma,Vadodara,267
Ujjivan Small Finance Bank,4.0,Not Available,Not Available,Banking,Bengaluru,547
Jana Small Finance Bank,3.7,Salary,Promotions,Banking,Bengaluru,429
Zydus Lifesciences,4.0,Not Available,Not Available,Pharma,Ahmedabad,185
Ekart Logistics,3.9,Skill Development,Promotions,Logistics,Bengaluru,742
HGS,3.7,Not Available,Not Available,Emerging Technologies,Bengaluru,123
Amazon Development Centre India,3.8,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",Internet,Hyderabad,147
KPMG India,3.4,Not Available,Not Available,Management Consulting,Bengaluru,113
Lupin,4.1,"Company Culture, Skill Development, Work Life Balance",Promotions,Pharma,Pune,206
Axis Max Life Insurance,4.0,Not Available,Not Available,Insurance,New Delhi,513
L&T Construction,4.0,"Job Security, Skill Development, Salary","Work Life Balance, Promotions",Engineering & Construction,Chennai,437
ITC,3.9,"Job Security, Skill Development",Promotions,FMCG,Bengaluru,383
Hindustan Unilever,4.2,"Skill Development, Company Culture, Work Life Balance",Promotions,FMCG,Mumbai,550
Megha Engineering & Infrastructures,3.9,Work Life Balance,Promotions,Engineering & Construction,Hyderabad,414
Tata Projects,4.2,Not Available,Not Available,Engineering & Construction,Mumbai,289
Cholamandalam Investment & Finance,3.8,Salary,Promotions,Financial Services,Chennai,873
Bajaj Life Insurance,3.8,Not Available,Not Available,Insurance,Pune,624
L&T Technology Services,3.1,Not Available,Not Available,IT Services & Consulting,Bengaluru,96
FIS,3.8,Work Life Balance,"Promotions, Job Security, Skill Development",FinTech,Pune,62
Oracle,3.3,Work Life Balance,"Promotions, Salary, Work Satisfaction",Software Product,Bengaluru,57
Omega Healthcare,3.8,Not Available,Not Available,BPO,Chennai,71
JLL,4.1,"Company Culture, Work Life Balance, Job Security",Promotions,Real Estate,Gurugram,89
Muthoot Finance,3.7,Not Available,Not Available,NBFC,Bengaluru,800
IIFL Finance,4.0,Not Available,Not Available,NBFC,Mumbai,820
eClerx,3.1,Not Available,Not Available,IT Services & Consulting,Pune,34
Indian Army,4.7,Not Available,Not Available,Defence & Aerospace,New Delhi,365
DMart,3.9,"Job Security, Company Culture",Promotions,Retail,Mumbai,257
PolicyBazaar,3.7,Salary,Work Life Balance,Internet,Gurugram,162
Piramal Finance,4.2,Not Available,Not Available,NBFC,Mumbai,437
Virtusa Consulting Services,3.7,Not Available,Not Available,IT Services & Consulting,Hyderabad,57
Indiamart Intermesh,3.5,Not Available,Not Available,Internet,Noida,170
HSBC Group,3.8,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",Financial Services,Bengaluru,64
HCL Group,3.5,Not Available,Not Available,IT Services & Consulting,Chennai,98
SMFG India Credit,3.9,Salary,Promotions,NBFC,Mumbai,611
Access Healthcare,3.7,Not Available,Not Available,BPO,Chennai,63
BigBasket,3.9,Job Security,Promotions,Internet,Bengaluru,146
ICICI Lombard General Insurance Company,3.5,Not Available,Not Available,Insurance,Mumbai,325
Siemens,4.0,"Work Life Balance, Job Security, Company Culture",Promotions,Industrial Automation,Bengaluru,157
Manappuram Finance,3.9,Not Available,Not Available,NBFC,Bengaluru,665
